Packdatum;Filialen;Bereich;;;;;
2017-07-01;9;DPS;;;;;
2017-07-02;79;DPS;;;;;
2017-07-03;171;DPS;;;;;
2017-07-04;166;DPS;;;;;
2017-07-05;193;DPS;;;;;
2017-07-06;178;DPS;;;;;
2017-07-07;105;DPS;;;;;
2017-07-08;32;DPS;;;;;
2017-07-09;73;DPS;;;;;
2017-07-10;161;DPS;;;;;
2017-07-11;161;DPS;;;;;
2017-07-12;168;DPS;;;;;
2017-07-13;164;DPS;;;;;
2017-07-14;94;DPS;;;;;
2017-07-15;48;DPS;;;;;
2017-07-17;129;DPS;;;;;
2017-07-18;109;DPS;;;;;
2017-07-19;119;DPS;;;;;
2017-07-20;118;DPS;;;;;
2017-07-21;97;DPS;;;;;
2017-07-22;14;DPS;;;;;
2017-07-24;139;DPS;;;;;
2017-07-25;104;DPS;;;;;
2017-07-26;137;DPS;;;;;
2017-07-27;79;DPS;;;;;
2017-07-28;60;DPS;;;;;
2017-07-30;32;DPS;;;;;
2017-07-31;130;DPS;;;;;
2017-08-01;110;DPS;;;;;
2017-08-02;111;DPS;;;;;
2017-08-03;157;DPS;;;;;
2017-08-04;101;DPS;;;;;
2017-08-06;43;DPS;;;;;
2017-08-07;127;DPS;;;;;
2017-08-08;114;DPS;;;;;
2017-08-09;124;DPS;;;;;
2017-08-10;110;DPS;;;;;
2017-08-11;97;DPS;;;;;
2017-08-12;9;DPS;;;;;
2017-08-13;30;DPS;;;;;
2017-08-14;132;DPS;;;;;
2017-08-15;129;DPS;;;;;
2017-08-16;88;DPS;;;;;
2017-08-17;79;DPS;;;;;
2017-08-18;59;DPS;;;;;
2017-08-19;13;DPS;;;;;
2017-08-21;129;DPS;;;;;
2017-08-22;108;DPS;;;;;
2017-08-23;75;DPS;;;;;
2017-08-24;77;DPS;;;;;
2017-08-25;57;DPS;;;;;
2017-08-26;11;DPS;;;;;
2017-08-28;134;DPS;;;;;
2017-08-29;113;DPS;;;;;
2017-08-30;74;DPS;;;;;
2017-08-31;82;DPS;;;;;
2017-09-01;98;DPS;;;;;
2017-09-02;1;DPS;;;;;
2017-09-04;131;DPS;;;;;
2017-09-05;139;DPS;;;;;
2017-09-06;145;DPS;;;;;
2017-09-07;112;DPS;;;;;
2017-09-08;99;DPS;;;;;
2017-09-09;10;DPS;;;;;
2017-09-11;129;DPS;;;;;
2017-09-12;148;DPS;;;;;
2017-09-13;115;DPS;;;;;
2017-09-14;112;DPS;;;;;
2017-09-15;99;DPS;;;;;
2017-09-16;1;DPS;;;;;
2017-09-18;129;DPS;;;;;
2017-09-19;140;DPS;;;;;
2017-09-20;139;DPS;;;;;
2017-09-21;72;DPS;;;;;
2017-09-22;104;DPS;;;;;
2017-09-23;3;DPS;;;;;
2017-09-25;136;DPS;;;;;
2017-09-26;146;DPS;;;;;
2017-09-27;112;DPS;;;;;
2017-09-28;125;DPS;;;;;
2017-09-29;100;DPS;;;;;
2017-09-30;75;DPS;;;;;
2017-10-02;77;DPS;;;;;
2017-10-03;2;DPS;;;;;
2017-10-04;99;DPS;;;;;
2017-10-05;88;DPS;;;;;
2017-10-06;86;DPS;;;;;
2017-10-07;5;DPS;;;;;
2017-10-09;130;DPS;;;;;
2017-10-10;110;DPS;;;;;
2017-10-11;99;DPS;;;;;
2017-10-12;112;DPS;;;;;
2017-10-13;102;DPS;;;;;
2017-10-14;1;DPS;;;;;
2017-10-16;137;DPS;;;;;
2017-10-17;139;DPS;;;;;
2017-10-18;139;DPS;;;;;
2017-10-19;153;DPS;;;;;
2017-10-20;102;DPS;;;;;
2017-10-21;12;DPS;;;;;
2017-10-23;141;DPS;;;;;
2017-10-24;148;DPS;;;;;
2017-10-25;108;DPS;;;;;
2017-10-26;115;DPS;;;;;
2017-10-27;142;DPS;;;;;
2017-10-28;73;DPS;;;;;
2017-10-30;112;DPS;;;;;
2017-10-31;1;DPS;;;;;
2017-11-01;120;DPS;;;;;
2017-11-02;136;DPS;;;;;
2017-11-03;88;DPS;;;;;
2017-11-04;10;DPS;;;;;
2017-11-06;87;DPS;;;;;
2017-11-07;157;DPS;;;;;
2017-11-08;143;DPS;;;;;
2017-11-09;149;DPS;;;;;
2017-11-10;145;DPS;;;;;
2017-11-11;14;DPS;;;;;
2017-11-13;139;DPS;;;;;
2017-11-14;143;DPS;;;;;
2017-11-15;141;DPS;;;;;
2017-11-16;147;DPS;;;;;
2017-11-17;148;DPS;;;;;
2017-11-18;26;DPS;;;;;
2017-11-20;143;DPS;;;;;
2017-11-21;145;DPS;;;;;
2017-11-22;132;DPS;;;;;
2017-11-23;111;DPS;;;;;
2017-11-24;101;DPS;;;;;
2017-11-25;3;DPS;;;;;
2017-11-27;128;DPS;;;;;
2017-11-28;152;DPS;;;;;
2017-11-29;110;DPS;;;;;
2017-11-30;159;DPS;;;;;
2017-12-01;140;DPS;;;;;
2017-12-02;78;DPS;;;;;
2017-12-04;117;DPS;;;;;
2017-12-05;115;DPS;;;;;
2017-12-06;77;DPS;;;;;
2017-12-07;116;DPS;;;;;
2017-12-08;132;DPS;;;;;
2017-12-09;72;DPS;;;;;
2017-12-11;117;DPS;;;;;
2017-12-12;90;DPS;;;;;
2017-12-13;118;DPS;;;;;
2017-12-14;125;DPS;;;;;
2017-12-15;89;DPS;;;;;
2017-12-16;75;DPS;;;;;
2017-12-18;120;DPS;;;;;
2017-12-19;102;DPS;;;;;
2017-12-20;110;DPS;;;;;
2017-12-21;118;DPS;;;;;
2017-12-22;131;DPS;;;;;
2017-12-23;107;DPS;;;;;
2017-12-27;179;DPS;;;;;
2017-12-28;188;DPS;;;;;
2017-12-29;156;DPS;;;;;
2017-12-30;77;DPS;;;;;
2018-01-02;117;DPS;;;;;
2018-01-03;92;DPS;;;;;
2018-01-04;84;DPS;;;;;
2018-01-05;62;DPS;;;;;
2018-01-06;11;DPS;;;;;
2018-01-08;132;DPS;;;;;
2018-01-09;110;DPS;;;;;
2018-01-10;133;DPS;;;;;
2018-01-11;75;DPS;;;;;
2018-01-12;107;DPS;;;;;
2018-01-13;3;DPS;;;;;
2018-01-15;122;DPS;;;;;
2018-01-16;110;DPS;;;;;
2018-01-17;74;DPS;;;;;
2018-01-18;75;DPS;;;;;
2018-01-19;100;DPS;;;;;
2018-01-20;5;DPS;;;;;
2018-01-22;129;DPS;;;;;
2018-01-23;108;DPS;;;;;
2018-01-24;114;DPS;;;;;
2018-01-25;78;DPS;;;;;
2018-01-26;60;DPS;;;;;
2018-01-27;5;DPS;;;;;
2018-01-29;132;DPS;;;;;
2018-01-30;113;DPS;;;;;
2018-01-31;122;DPS;;;;;
2018-02-01;73;DPS;;;;;
2018-02-02;98;DPS;;;;;
2018-02-03;3;DPS;;;;;
2018-02-05;135;DPS;;;;;
2018-02-06;142;DPS;;;;;
2018-02-07;134;DPS;;;;;
2018-02-08;113;DPS;;;;;
2018-02-09;103;DPS;;;;;
2018-02-10;1;DPS;;;;;
2018-02-12;128;DPS;;;;;
2018-02-13;103;DPS;;;;;
2018-02-14;113;DPS;;;;;
2018-02-15;113;DPS;;;;;
2018-02-16;99;DPS;;;;;
2018-02-19;121;DPS;;;;;
2018-02-20;119;DPS;;;;;
2018-02-21;87;DPS;;;;;
2018-02-22;73;DPS;;;;;
2018-02-23;57;DPS;;;;;
2018-02-24;5;DPS;;;;;
2018-02-26;132;DPS;;;;;
2018-02-27;119;DPS;;;;;
2018-02-28;75;DPS;;;;;
2018-03-01;84;DPS;;;;;
2018-03-02;57;DPS;;;;;
2018-03-03;5;DPS;;;;;
2018-03-05;126;DPS;;;;;
2018-03-06;136;DPS;;;;;
2018-03-07;141;DPS;;;;;
2018-03-08;113;DPS;;;;;
2018-03-09;99;DPS;;;;;
2018-03-10;3;DPS;;;;;
2018-03-11;25;DPS;;;;;
2018-03-12;124;DPS;;;;;
2018-03-13;121;DPS;;;;;
2018-03-14;84;DPS;;;;;
2018-03-15;94;DPS;;;;;
2018-03-16;109;DPS;;;;;
2018-03-17;2;DPS;;;;;
2018-03-18;23;DPS;;;;;
2018-03-19;96;DPS;;;;;
2018-03-20;80;DPS;;;;;
2018-03-21;109;DPS;;;;;
2018-03-22;93;DPS;;;;;
2018-03-23;57;DPS;;;;;
2018-03-25;22;DPS;;;;;
2018-03-26;96;DPS;;;;;
2018-03-27;102;DPS;;;;;
2018-03-28;94;DPS;;;;;
2018-03-29;49;DPS;;;;;
2018-03-31;19;DPS;;;;;
2018-04-03;70;DPS;;;;;
