Datum;VPE_Gesamt;Komm_VPE;Voll;Displays;Lager
2015-02-21;26096;25589;507;0;DPS
2015-02-21;3820;3816;4;0;MAN
2015-02-21;5985;5985;0;0;MPS
2015-02-23;84301;82956;1345;0;DPS
2015-02-23;13358;13328;30;0;MAN
2015-02-23;19225;19225;0;0;MPS
2015-02-24;52944;51814;1130;0;DPS
2015-02-24;9790;9782;8;0;MAN
2015-02-24;13521;13437;84;0;MPS
2015-02-25;53885;52472;1413;0;DPS
2015-02-25;8827;8809;18;0;MAN
2015-02-25;15130;14618;512;0;MPS
2015-02-26;70776;69703;1073;0;DPS
2015-02-26;11969;11804;165;0;MAN
2015-02-26;18036;17981;55;0;MPS
2015-02-27;58196;57167;1029;0;DPS
2015-02-27;10333;10267;66;0;MAN
2015-02-27;14984;14982;2;0;MPS
2015-02-28;27350;26398;952;0;DPS
2015-02-28;3895;3892;3;0;MAN
2015-02-28;6014;6014;0;0;MPS
2015-03-02;87937;86509;1428;0;DPS
2015-03-02;15245;15235;10;0;MAN
2015-03-02;20897;20897;0;0;MPS
2015-03-03;56940;55791;1149;0;DPS
2015-03-03;10022;9868;154;0;MAN
2015-03-03;14886;14886;0;0;MPS
2015-03-04;59853;57907;1946;0;DPS
2015-03-04;14768;8859;5909;0;MAN
2015-03-04;14540;14193;347;0;MPS
2015-03-05;72774;71345;1429;0;DPS
2015-03-05;11982;11942;40;0;MAN
2015-03-05;20913;18780;2133;0;MPS
2015-03-06;58286;57200;1086;0;DPS
2015-03-06;10694;9872;822;0;MAN
2015-03-06;14173;14172;1;0;MPS
2015-03-07;22351;22012;339;0;DPS
2015-03-07;4970;3312;1658;0;MAN
2015-03-07;4958;4958;0;0;MPS
2015-03-09;82549;81494;1055;0;DPS
2015-03-09;13811;13233;578;0;MAN
2015-03-09;18545;18545;0;0;MPS
2015-03-10;51158;50555;603;0;DPS
2015-03-10;10751;9133;1618;0;MAN
2015-03-10;12226;12226;0;0;MPS
2015-03-11;48265;47323;942;0;DPS
2015-03-11;8554;8547;7;0;MAN
2015-03-11;11397;11276;121;0;MPS
2015-03-12;64873;64004;869;0;DPS
2015-03-12;11741;11605;136;0;MAN
2015-03-12;16185;16184;1;0;MPS
2015-03-13;52943;52062;881;0;DPS
2015-03-13;9452;9313;139;0;MAN
2015-03-13;11783;11779;4;0;MPS
2015-03-14;22856;22528;328;0;DPS
2015-03-14;4307;3418;889;0;MAN
2015-03-14;4747;4675;70;2;MPS
2015-03-16;84841;83753;1088;0;DPS
2015-03-16;15994;14515;1479;0;MAN
